OTUId	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Pmax-10	sample_S2-P_Pmax-08	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-04	sample_S2-P_Pmax-01	sample_S2-P_PO4-10	sample_S2-D_Pmax-10	sample_S2-P_PO4-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-09	sample_S2-P_Psoil-08	sample_S2-P_Psoil-06	sample_S2-D_Pmax-01	sample_S2-P_Psoil-04	sample_S2-P_Psoil-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-P_PO4-08	sample_S2-D_Pmax-09	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-P_PO4-03	sample_S2-D_PO4-09	sample_S2-D_Ind-02	sample_S2-D_PO4-08	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_Ind-05	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-P_PO4-02	sample_S2-D_Psoil-01	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Pmax-02	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-08	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Ind-01	sample_S2-P_Pmax-09	sample_S2-P_Pmax-07	sample_S2-P_Pmax-06	sample_S2-P_Pmax-03	sample_S2-P_Pmax-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-P_Psoil-10	sample_S2-D_Psoil-09	sample_S2-P_Psoil-07	sample_S2-D_Psoil-10	sample_S2-P_PO4-01	sample_S2-P_Psoil-05	sample_S2-D_Pmax-05	sample_S2-D_Pmax-04	sample_S2-D_Pmax-03	sample_S2-D_Pmax-07	sample_S2-P_PO4-07	sample_S2-D_PO4-07	sample_S2-D_Ind-06	sample_S2-D_Ind-04	sample_S2-D_PO4-04	sample_S2-D_Ind-07	sample_S2-D_PO4-03	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05
OTU_2344;size=3;	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2910;size=2;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_860;size=37;	1	2	1	0	0	2	3	3	0	3	2	2	0	0	0	0	0	1	0	1	5	4	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	1	1	1	2	1	0	0	2	1	0	0	2	0	3	0	3	1	3	4	4	2	1	2	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_4059;size=4;	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2965;size=6;	2	2	1	0	1	1	0	2	0	0	3	0	1	0	2	3	1	2	0	0	4	0	4	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	2	1	3	0	3	1	0	1	0	0	2	6	2	3	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU_3150;size=4;	1	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
OTU_442;size=71;	1	2	1	1	1	4	1	6	0	2	4	0	0	0	0	2	1	0	0	0	2	1	4	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2	3	3	3	2	2	0	7	3	8	2	6	0	0	0	2	1	0	2	0	3	4	1	0	1	0	0	0	0	0	0	0	0	1	0	1
OTU_704;size=22;	2	1	0	0	0	0	0	1	1	1	0	6	0	4	1	0	0	0	0	0	1	0	0	0	0	0	2	3	1	0	0	0	1	0	1	0	1	1	4	2	4	0	0	1	5	5	0	1	1	1	1	0	2	3	3	2	1	2	2	3	0	3	0	1	1	0	0	1	2	1	1	3	0	2	1	1	3	0	0	1
OTU_453;size=78;	1	0	1	0	4	0	0	2	4	2	4	2	0	0	1	1	2	0	2	2	3	2	0	1	2	0	0	1	0	0	0	0	0	0	0	3	0	2	4	4	4	10	0	0	3	3	0	0	1	0	0	2	2	0	2	4	5	6	0	3	3	7	0	3	2	4	0	0	6	1	1	1	1	2	1	0	0	0	0	3
OTU_373;size=217;	2	2	2	3	0	3	3	2	20	6	1	0	3	0	20	0	0	0	0	0	1	2	3	0	0	0	0	0	0	7	0	13	0	0	18	11	1	0	0	0	39	4	3	3	8	1	2	1	0	1	0	1	0	2	1	0	2	6	5	14	1	0	3	39	0	2	4	6	5	1	0	0	10	13	1	8	1	7	12	0
OTU_1583;size=17;	1	2	1	0	0	0	0	0	2	8	0	1	0	0	6	4	5	0	1	0	1	1	1	2	0	1	3	4	9	0	5	2	5	6	2	0	5	6	1	1	6	26	10	0	2	3	0	0	0	1	0	1	0	0	3	1	0	1	6	5	3	23	1	4	3	1	1	1	0	0	2	8	0	1	4	1	5	1	1	4
OTU_2383;size=9;	2	0	2	1	0	1	1	1	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	1	1	0	1	1	0	1	2	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	1	1	0	0	0	0	0
OTU_4275;size=2;	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_551;size=68;	1	0	0	0	0	0	0	1	8	1	0	3	0	0	1	3	0	0	1	1	0	0	1	0	1	2	3	1	0	1	0	1	0	1	3	2	2	3	3	1	5	8	4	2	1	6	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0	13	0	1	5	0	0	2	2	2	0	0	5	3	3	2	2	0	7	0
OTU_754;size=18;	1	2	0	2	1	1	2	2	2	2	0	1	0	1	10	4	2	1	1	1	1	0	5	2	0	0	0	0	1	0	0	0	1	1	0	2	1	1	2	2	19	2	3	1	8	3	0	0	0	1	0	1	0	1	0	1	0	3	3	3	0	2	4	7	2	0	1	1	3	1	0	1	0	1	0	2	3	1	1	2
OTU_3635;size=2;	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3634;size=2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_629;size=36;	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	4	0	1	5	5	0	2	0	0	2	0	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	1	1	3	1	4	1	0
OTU_1209;size=30;	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	3	1	1	2	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	0	1	0	0	1	1
OTU_997;size=11;	2	2	0	0	0	0	0	2	5	1	2	0	0	1	1	2	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	3	0	0	1	2	2	0	0	4	5	5	0	2	4	1	0	1	3	1	4	1	0	3	0	1	0	0	1	1	5	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
OTU_574;size=35;	1	1	4	0	0	0	0	1	1	2	0	3	0	0	0	0	1	0	1	0	0	0	0	3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	2	1	4	1	0	1	1	5	0	0	0	1	0	0	0	0	0	3	3	2	3	0	0	0	0	1	0	0	2	2	0	1	1	1	1	0
OTU_974;size=11;	1	0	0	0	0	0	0	2	0	1	0	0	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_3624;size=2;	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_394;size=78;	1	1	2	2	6	4	2	3	4	0	5	3	2	1	0	0	0	0	1	0	0	0	0	1	0	3	3	5	3	0	1	0	2	3	1	1	1	1	4	8	1	0	2	0	0	6	0	2	0	2	0	3	3	6	0	0	0	0	0	0	5	3	0	1	5	1	0	0	1	1	3	0	2	2	1	1	2	2	3	2
OTU_1852;size=16;	1	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	1	0	2	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	2	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1496;size=23;	2	0	1	1	0	1	0	1	3	0	3	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0
OTU_1110;size=31;	1	1	3	2	1	0	0	5	3	3	1	0	0	1	8	1	2	1	0	4	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	1	3	0	8	4	3	0	1	6	2	4	2	2	1	2	0	1	1	2	1	3	1	6	1	7	4	3	3	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0
OTU_2304;size=3;	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
