OTUId	sample_S2-D_Psoil-01	sample_S2-P_Ind-10	sample_S2-P_Ind-09	sample_S2-P_Ind-07	sample_S2-P_Ind-06	sample_S2-P_Ind-05	sample_S2-P_Ind-04	sample_S2-P_Ind-03	sample_S2-P_Ind-02	sample_S2-P_Pmax-10	sample_S2-P_Pmax-09	sample_S2-P_Pmax-08	sample_S2-D_Pmax-02	sample_S2-P_Pmax-07	sample_S2-D_Psoil-07	sample_S2-D_Ind-04	sample_S2-D_Ind-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-P_Pmax-02	sample_S2-D_Pmax-10	sample_S2-P_Pmax-01	sample_S2-P_Psoil-09	sample_S2-D_Psoil-06	sample_S2-P_Psoil-06	sample_S2-D_Psoil-10	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-P_Psoil-02	sample_S2-P_Psoil-01	sample_S2-D_Pmax-05	sample_S2-P_PO4-07	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_PO4-06	sample_S2-D_PO4-05	sample_S2-D_PO4-04	sample_S2-D_Ind-06	sample_S2-D_Ind-05	sample_S2-D_PO4-02	sample_S2-D_PO4-01	sample_S2-P_PO4-06	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-D_Psoil-05	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Pmax-06	sample_S2-P_PO4-04	sample_S2-P_Ind-08	sample_S2-P_Ind-01	sample_S2-P_Pmax-06	sample_S2-P_Pmax-05	sample_S2-P_Pmax-04	sample_S2-P_Pmax-03	sample_S2-D_Psoil-04	sample_S2-P_PO4-10	sample_S2-P_PO4-09	sample_S2-P_Psoil-10	sample_S2-P_Psoil-08	sample_S2-P_PO4-02	sample_S2-P_Psoil-07	sample_S2-P_Psoil-05	sample_S2-P_Psoil-04	sample_S2-P_PO4-01	sample_S2-P_Psoil-03	sample_S2-D_Pmax-04	sample_S2-P_PO4-08	sample_S2-D_Pmax-08	sample_S2-D_PO4-10	sample_S2-D_PO4-09	sample_S2-D_PO4-08	sample_S2-P_PO4-03	sample_S2-D_PO4-07	sample_S2-D_PO4-03	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-08
OTU_20;size=14442;	130	14	43	16	30	28	5	25	10	287	166	174	114	137	88	11	67	303	70	101	15	87	418	116	238	35	22	250	87	34	159	122	7	20	80	20	94	86	99	14	20	100	61	496	22	373	196	4	5	167	412	20	18	231	128	84	183	218	396	205	35	325	417	225	93	37	180	51	49	352	5	68	50	75	343	63	83	5	48	13
OTU_5250;size=138;	19	145	110	161	264	199	147	282	62	43	19	31	0	0	1	23	83	0	0	1	1	24	3	1	38	1	3	2	6	31	0	4	0	0	42	48	0	3	0	11	35	8	0	14	30	12	2	0	1	1	14	174	197	29	1	0	2	2	26	5	65	32	11	36	2	0	5	0	0	25	0	0	0	1	15	1	0	12	51	16
OTU_1330;size=37;	13	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU_261;size=319;	81	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	6	9	0	0	1	0	0	4	0	102	0	6	0	0	6	0	0	0	1	4	0	0	0	2	1	1	1	0	2	0	6	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	1	0	1	1
OTU_386;size=221;	9	3	0	3	9	10	3	8	1	3	1	1	0	0	0	7	32	0	0	0	2	0	0	0	0	1	0	2	1	3	1	0	2	1	12	12	0	0	0	7	10	0	0	0	28	3	0	0	2	2	0	2	5	0	0	1	0	0	1	1	2	0	0	1	0	0	1	1	0	3	1	0	0	0	1	0	0	1	15	6
OTU_219;size=345;	90	0	2	1	0	1	0	0	0	1	1	0	11	0	6	2	6	7	8	1	2	1	8	20	0	19	3	17	3	3	15	1	1	2	2	3	0	3	0	2	3	0	2	0	2	2	8	6	14	10	1	1	1	0	0	0	3	4	3	0	2	4	11	0	0	0	7	3	3	1	0	0	0	2	1	0	0	1	5	3
OTU_398;size=247;	4	0	0	1	3	1	0	2	1	3	2	0	3	0	6	2	9	1	0	0	13	0	6	0	1	0	15	3	1	0	3	1	11	8	10	10	7	7	8	6	6	6	2	6	5	0	0	0	0	2	3	5	2	1	0	0	0	0	1	0	0	0	4	1	0	2	0	0	0	2	1	3	6	2	2	3	4	3	13	3
OTU_77;size=1627;	614	0	0	1	0	2	1	1	0	0	0	0	20	0	44	7	44	4	0	0	2	0	0	88	0	213	5	27	9	0	35	1	1	2	16	15	21	21	21	10	14	26	23	0	18	1	105	0	1	28	1	0	0	1	0	0	0	47	2	0	0	1	0	0	5	0	1	0	7	0	2	23	17	11	0	17	13	1	25	12
OTU_122;size=907;	192	0	1	1	0	0	0	0	0	8	1	4	5	2	18	3	6	4	1	0	2	5	40	72	25	85	1	11	1	63	3	5	0	2	2	7	1	0	1	5	4	13	2	8	8	6	46	0	0	8	2	2	3	4	0	0	2	77	6	4	54	30	2	20	2	0	2	0	0	0	1	3	1	0	5	0	2	1	7	1
OTU_1063;size=50;	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_285;size=818;	200	1	0	0	0	1	0	0	0	5	2	11	2	7	56	1	6	0	0	2	12	4	20	26	1	63	19	6	0	2	9	2	3	9	4	1	0	1	6	1	2	8	2	7	2	3	12	0	1	7	1	1	1	17	0	0	0	3	12	5	8	14	6	0	0	3	2	2	4	7	4	6	5	4	4	0	3	1	5	0
OTU_3;size=36812;	651	185	242	229	356	273	180	371	168	1068	533	608	635	648	266	323	1032	437	73	465	537	302	518	424	743	414	653	1191	383	244	798	124	371	431	604	607	100	117	118	176	384	161	71	449	382	376	910	27	59	894	387	230	295	817	732	546	1349	317	360	184	312	275	409	565	391	271	205	574	328	355	246	85	72	67	322	75	108	118	603	289
OTU_127;size=851;	69	1	0	1	2	3	1	4	2	2	0	0	17	16	12	16	63	17	0	4	2	0	0	29	0	69	1	31	1	0	13	1	1	1	27	32	10	8	10	11	21	5	9	1	21	0	76	0	0	19	3	4	3	1	17	4	14	64	0	0	0	0	2	2	2	7	3	0	3	2	0	7	10	5	3	5	8	5	34	12
OTU_71;size=1620;	101	9	5	7	16	11	13	26	8	10	6	9	9	3	45	33	92	13	0	0	48	1	9	39	13	21	70	13	14	4	11	8	38	38	44	59	20	34	24	26	34	26	17	24	34	8	64	6	10	11	23	8	11	11	1	2	5	21	4	12	7	16	24	8	7	12	4	10	1	15	25	24	10	12	23	14	22	21	63	26
OTU_3307;size=17;	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
OTU_180;size=541;	103	1	1	4	9	1	0	3	1	0	1	5	3	1	6	6	16	1	0	3	1	0	48	0	0	40	3	10	0	0	8	2	0	1	6	9	1	1	2	2	10	0	1	4	7	6	40	0	0	11	5	2	3	3	13	2	7	42	0	1	0	37	7	0	0	3	8	0	0	7	0	2	0	0	2	0	3	3	6	7
OTU_103;size=2163;	1818	0	1	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	231	0	15	1	0	14	1	1	0	1	1	6	3	2	1	1	4	4	0	1	0	0	0	0	13	0	1	1	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	4	0	0	9	1	3	0	1	5	0	0	1
OTU_59;size=1942;	174	2	0	1	0	0	1	0	1	0	0	0	102	0	201	22	56	0	0	0	26	0	0	94	0	39	39	176	7	0	90	5	18	28	15	28	14	29	28	9	22	16	19	0	23	0	2	85	142	121	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	48	0	13	12	20	11	0	6	29	3	26	33
OTU_9936;size=1;	122	14	7	18	23	25	2	22	9	21	11	6	10	9	76	11	64	7	4	4	22	7	31	36	16	35	29	17	5	6	17	5	23	14	11	27	14	10	9	10	19	10	9	18	22	15	66	9	13	32	8	13	18	16	8	6	17	26	14	8	15	14	11	9	8	3	8	1	3	9	11	7	6	12	22	5	10	8	31	15
OTU_569;size=292;	21	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	23	3	0	0	0	4	0	2	2	1	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	23	30	42	3	0	0	0	0	0	2	0	12	0	3	1	19	0	0	0	4	0	0	1	1	0	0	1	0	0	0	1	0	0	0
OTU_268;size=253;	92	4	1	3	9	7	5	12	2	5	0	0	0	0	5	0	0	0	0	0	0	2	0	0	3	0	1	0	1	9	0	1	0	2	0	0	0	0	0	0	0	4	0	6	0	3	0	0	0	0	4	2	9	2	0	0	2	0	5	2	2	2	3	2	0	0	3	16	1	12	0	0	0	0	9	0	0	0	0	0
OTU_226;size=538;	144	0	2	0	0	0	0	1	0	2	1	0	9	14	19	1	11	2	0	0	1	0	8	65	12	54	2	5	1	0	8	2	0	1	3	5	1	2	0	2	2	2	2	9	7	4	9	12	33	2	1	0	0	1	0	0	0	3	0	1	0	2	1	9	3	0	2	0	1	1	0	2	0	4	6	3	2	0	3	4
OTU_3122;size=148;	8	0	0	0	5	0	0	2	0	2	1	1	0	3	4	3	16	0	0	0	0	0	2	3	2	0	1	0	0	1	0	0	2	2	2	0	1	0	0	2	3	0	0	7	3	0	6	0	1	2	4	0	2	2	7	2	2	4	3	0	2	2	0	1	2	0	1	2	0	1	0	1	1	1	0	1	0	1	2	0
OTU_760;size=200;	21	1	1	1	2	0	0	1	1	2	0	5	0	0	0	2	5	2	0	1	0	0	1	1	2	4	0	4	1	1	3	1	0	0	0	2	0	0	0	0	1	2	0	0	2	0	3	1	1	1	2	0	0	1	0	0	0	0	2	4	2	2	3	0	0	3	1	2	1	0	0	0	0	0	6	0	1	0	3	3
OTU_157;size=564;	114	0	0	0	1	0	1	1	1	2	0	4	6	5	18	1	5	0	0	0	0	1	5	34	6	35	3	10	8	21	1	1	0	0	7	2	0	3	1	1	3	9	5	21	3	6	23	21	30	5	1	1	1	2	2	0	3	21	5	4	19	6	7	2	20	11	3	16	5	3	0	4	0	0	1	1	1	0	1	0
OTU_561;size=4119;	26	21	37	56	72	69	30	62	20	222	114	144	235	253	10	118	313	93	14	143	104	65	73	68	94	15	162	380	110	172	253	30	88	72	186	206	37	48	36	84	147	73	24	125	138	94	79	30	47	314	76	31	46	184	266	190	426	63	87	50	212	68	103	72	93	139	60	245	94	55	58	28	40	46	84	25	49	40	201	95
OTU_9999;size=2;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
