OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-05	sample_S2-D_Psoil-07	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-06	sample_S2-D_Pmax-08	sample_S2-D_Pmax-10	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-08	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-01	sample_S2-D_PO4-04	sample_S2-D_PO4-06	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-04	sample_S2-P_Psoil-05	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_PO4-09	sample_S2-P_Ind-07	sample_S2-P_Ind-10	sample_S2-P_Pmax-02	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-03	sample_S2-P_Ind-04	sample_S2-P_Ind-05	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Ind-02	sample_S2-P_Ind-06	sample_S2-P_Ind-08	sample_S2-P_Ind-09	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-D_Ind-01	sample_S2-D_Ind-06	sample_S2-D_Ind-09	sample_S2-D_PO4-02	sample_S2-D_PO4-03	sample_S2-D_PO4-05	sample_S2-D_PO4-07	sample_S2-D_PO4-08	sample_S2-P_PO4-08	sample_S2-P_Psoil-01	sample_S2-D_Psoil-06	sample_S2-P_PO4-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-05	sample_S2-D_Pmax-07
OTU_86;size=15785;	100	40	58	75	69	174	67	101	79	153	491	97	103	141	305	362	97	233	287	239	107	195	130	229	39	44	253	272	91	147	165	20	45	23	16	21	46	180	96	160	122	108	167	104	131	161	111	124	107	28	33	20	74	201	197	51	90	81	120	88	121	30	35	299	60	273	278	231	194	164	149	150	94	92	41	94	71	135	192	327
OTU_2423;size=13;	7	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	2	0	0	1	0
OTU_4861;size=6;	153	5	3	0	0	73	8	8	115	54	1	33	30	40	6	1	82	8	14	7	8	6	6	14	28	48	15	12	4	12	7	10	236	79	20	28	18	21	11	68	54	43	97	10	31	9	4	5	6	17	58	22	22	51	68	13	28	5	4	2	10	32	173	1	42	16	20	17	12	7	6	10	3	69	31	51	38	37	48	2
OTU_484;size=116;	3	9	12	18	2	9	0	0	32	1	0	0	0	0	0	0	12	1	1	5	0	3	0	2	3	0	0	0	0	0	0	0	14	6	4	26	0	3	1	0	1	0	1	12	3	1	1	0	0	9	9	6	1	1	1	0	1	1	0	1	0	7	15	0	0	1	2	1	0	1	0	0	0	7	26	3	0	4	2	1
OTU_135;size=1992;	158	89	77	31	11	91	2	3	147	114	5	24	13	47	4	6	124	16	23	23	8	14	12	13	52	53	21	21	4	12	12	12	10	5	38	18	51	63	45	32	22	19	45	47	58	62	39	36	26	5	82	97	39	93	41	22	61	28	51	30	34	3	8	2	85	20	18	11	29	20	11	16	10	90	23	105	82	29	48	5
OTU_50;size=5280;	82	61	94	39	37	223	20	19	60	123	392	57	51	61	230	268	172	150	205	197	82	105	92	127	61	75	246	222	76	108	146	14	37	26	18	17	22	66	38	57	39	21	66	64	56	68	47	49	33	23	36	16	77	123	54	47	68	32	41	41	38	43	59	167	62	188	189	214	199	141	83	114	84	103	14	78	107	61	109	268
OTU_10;size=62933;	1543	485	684	115	124	124	1380	2098	495	1523	163	144	137	205	113	111	1794	766	677	694	275	430	327	581	771	1128	717	605	223	467	452	236	338	953	218	374	467	4536	3021	438	358	302	471	315	322	4686	2858	3752	2454	78	1010	326	684	588	549	215	379	2349	3226	2186	3175	103	269	81	921	734	715	758	725	483	400	354	275	1240	979	75	905	187	257	122
OTU_1179;size=22;	22	0	0	0	0	0	0	0	12	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	1	3	0
OTU_15;size=22973;	54	26	41	11	19	53	7	20	30	166	2894	123	109	151	1800	1926	295	543	704	548	252	392	297	454	78	91	664	655	215	422	462	23	44	7	9	18	57	95	76	3	11	6	16	112	120	115	80	79	71	1	19	9	66	208	13	55	106	62	74	53	74	17	27	1472	123	579	596	614	630	479	347	314	267	134	11	66	102	124	223	2249
OTU_316;size=22591;	1163	997	1602	1297	1251	1734	502	655	830	1699	1934	837	703	1296	1128	1406	2142	1183	1374	1356	574	995	693	1069	914	1075	2435	2241	509	1531	1573	272	536	436	487	225	549	787	469	1187	883	763	1297	1422	1521	712	474	608	452	442	799	393	731	2582	1417	956	1302	402	580	366	518	271	548	976	1134	1438	1466	1465	2165	1556	1186	1186	946	1433	384	2351	1117	1075	1528	1538
OTU_2283;size=284;	49	63	111	136	128	72	0	0	29	44	0	9	5	15	2	2	57	2	6	8	2	5	4	5	21	22	14	8	1	5	4	9	15	10	9	15	17	7	7	3	2	3	17	16	5	16	9	12	3	16	23	16	18	20	9	4	10	5	3	6	3	23	15	1	42	5	0	5	5	7	0	6	4	37	13	50	16	15	23	4
OTU_228;size=2200;	135	35	56	83	71	126	120	165	104	77	15	33	42	63	6	9	92	21	23	24	16	12	13	17	36	27	26	33	10	14	25	11	53	15	22	85	29	51	29	72	46	35	74	65	51	35	25	43	27	33	60	26	32	105	65	37	47	24	30	25	16	25	49	5	71	37	25	27	22	32	14	25	11	58	133	138	53	39	70	3
OTU_1369;size=53;	4	1	2	52	40	5	0	0	0	7	1	2	3	1	2	0	16	3	3	2	1	2	3	1	1	3	1	8	1	12	2	1	2	0	1	0	4	1	1	2	0	0	4	4	1	0	1	2	2	1	1	0	9	3	0	3	4	1	0	0	0	4	9	1	7	3	1	5	13	12	3	3	2	9	1	15	2	3	5	0
OTU_404;size=287;	37	1	4	0	2	36	16	27	49	5	16	7	15	15	15	9	4	4	4	2	1	0	0	4	2	6	0	1	2	1	1	0	37	12	0	2	2	1	2	2	2	8	5	11	9	5	0	3	0	33	10	0	0	23	4	6	3	2	0	0	0	32	29	4	0	1	2	4	3	1	0	1	1	1	8	6	0	9	12	1
OTU_855;size=41;	3	0	0	1	3	1	0	3	0	1	0	0	1	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	1	1	0	5	5	2	2	2	4	6	0	3	2	6	4	0	0	0	1	2	2	0	0	7	5	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2
OTU_364;size=732;	133	1	1	15	13	79	40	44	34	3	4	6	2	10	5	5	0	35	23	28	11	19	19	26	2	7	2	0	6	0	3	0	1	0	3	2	6	0	0	1	0	2	0	0	2	0	0	0	0	0	29	8	0	9	1	0	1	0	0	0	0	0	0	5	1	38	39	62	1	5	1	0	3	11	3	47	4	7	6	11
OTU_101;size=2675;	46	130	221	68	555	60	7	11	58	177	11	96	63	89	11	13	295	3	6	8	4	0	2	9	104	87	42	57	3	21	37	37	118	26	36	119	57	5	6	22	32	30	30	13	14	6	5	5	6	56	21	75	70	15	55	10	9	3	2	1	2	92	120	1	130	7	8	11	49	52	26	17	15	155	90	35	81	86	135	4
OTU_1020;size=33;	1	2	8	7	0	2	1	8	0	3	1	1	0	0	0	0	0	0	2	2	1	3	0	1	0	0	2	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	3	1	1	0	4	0	2	0	2	2	3	3	0	0	0	0	8	0	0	0	1	0
OTU_538;size=133;	258	1784	2465	0	1	3	5	7	0	12	13	335	256	391	14	6	5	55	53	52	23	42	29	47	0	1	705	597	81	417	425	1	0	24	1	1	1	7	1	0	2	1	2	4	3	14	5	7	2	2	4	0	3	5	0	2	2	3	9	2	2	0	0	11	6	51	66	61	760	354	333	309	261	7	10	11	6	372	499	18
OTU_11;size=86749;	275	114	133	127	81	112	24	23	120	2802	282	748	674	1102	165	204	2559	547	553	588	230	401	249	463	1123	1309	681	669	214	393	434	326	62	56	67	62	711	1352	865	894	625	523	892	1153	1231	1228	865	1121	727	93	190	134	1094	2138	978	812	982	625	897	661	865	51	54	162	1583	587	523	556	603	460	367	343	244	1896	91	123	1493	933	1431	180
OTU_2322;size=252;	281	10	8	98	98	69	44	52	125	74	7	18	18	37	3	5	103	21	14	24	9	12	10	26	47	62	22	21	4	13	10	8	74	47	23	127	22	26	17	22	18	18	37	50	44	22	15	22	9	47	24	37	27	83	40	33	33	10	19	8	15	32	45	3	39	32	17	22	19	16	13	9	20	51	58	58	33	31	27	6
