OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-D_Psoil-06	sample_S2-D_Psoil-07	sample_S2-P_PO4-01	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-06	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-06	sample_S2-D_Ind-08	sample_S2-D_PO4-01	sample_S2-D_PO4-02	sample_S2-D_PO4-05	sample_S2-D_PO4-06	sample_S2-D_PO4-08	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-05	sample_S2-P_PO4-09	sample_S2-P_Ind-05	sample_S2-P_Ind-06	sample_S2-P_Ind-09	sample_S2-P_Ind-10	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-02	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-04	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Ind-02	sample_S2-P_Ind-03	sample_S2-P_Ind-07	sample_S2-P_Ind-08	sample_S2-P_Psoil-01	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-P_Psoil-04	sample_S2-D_Pmax-10	sample_S2-D_Ind-01	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-03	sample_S2-D_PO4-04	sample_S2-D_PO4-07	sample_S2-P_PO4-08	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-05	sample_S2-D_Pmax-08
OTU_382;size=568;	32	0	3	0	0	23	92	0	0	0	1	0	38	31	0	1	1	15	0	2	0	21	3	7	11	2	23	2	2	2	3	51	0	5	1	5	16	11	9	5	0	4	3	1	10	0	13	14	10	3	6	1	6	29	0	11	8	0	1	1	0	0	0	0	2	17	45	1	1	0	52	0	12	2	10	9	1	0	0	0
OTU_430;size=741;	62	4	2	0	0	8	36	7	0	0	0	1	15	9	13	9	25	27	2	13	14	3	12	15	3	0	10	0	0	0	1	16	2	0	6	5	2	0	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	2	19	2	6	57	17	6	14	25	32	16	9	7	7	6	12	15	10	59	12	4	2	2	2	1	4
OTU_145;size=1371;	19	10	2	0	0	0	0	235	21	30	76	89	0	0	31	60	53	2	24	30	93	31	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	150	140	45	49	37	59	113	82	0	0	18	24	38	5	12	2	14	22	35	23	8	3	89
OTU_4511;size=21;	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	3	6	0	0	0	1	0
OTU_68;size=3216;	736	6	300	3	1	80	64	61	162	233	16	15	52	34	11	17	25	75	21	55	65	42	55	40	17	4	24	0	0	0	2	52	96	8	73	5	7	7	0	0	0	12	3	2	0	11	33	24	9	0	0	2	0	0	0	29	13	63	63	13	13	6	25	47	61	23	59	25	40	46	53	15	726	0	0	154	199	71	68	19
OTU_1810;size=93;	24	8	4	0	0	0	9	0	0	0	0	0	3	2	0	2	0	0	2	1	0	0	7	0	4	0	1	0	0	1	0	14	22	8	0	0	0	15	4	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	6	6	0	2	1	0	0	0	0	2	0	6	0	0	0	0	6	9	0	0	0	0	0	0	0
OTU_11200;size=3;	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6712;size=1160;	694	16	3	2	9	42	83	22	49	91	9	9	44	22	65	55	73	3	45	61	82	55	105	3	11	37	15	2	5	2	4	44	28	23	28	25	29	55	4	3	0	56	55	29	3	0	11	7	50	1	0	0	7	7	1	1	3	19	209	64	28	45	58	176	128	27	50	43	65	95	46	16	13	0	5	1638	80	30	20	18
OTU_15891;size=6;	8	1	1	0	0	0	0	2	7	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	0	0	1	0	3	1	0	0	0	0	1	1	1	2	0	0	5	3	1	2	4
OTU_137;size=1598;	99	12	68	0	0	61	104	16	4	20	3	4	40	43	10	17	31	177	34	47	101	46	53	95	10	0	14	2	3	6	4	44	26	48	1	12	44	52	8	9	0	1	6	5	3	21	11	43	44	6	4	2	6	18	0	10	4	9	66	11	5	6	6	42	19	30	37	34	54	54	68	22	93	0	0	0	25	8	13	6
